media,title,pub_date,url
뉴스1,아차산 해맞이 인파 관리 나선 광진구,2023.01.01.,https://www.news1.kr/photos/view/?5766867
아시아경제,[포토]김경호 광진구청장 해맞이 행사 구민 안전 행보,2023.01.01.,https://view.asiae.co.kr/article/2023010112040116163
시민일보,[2023년 신년사] 서울 광진구의장 추윤구,2023.01.01.,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160263123454600
신아일보,광진구 초등학교 앞 과속경보시스템 확대 설치,2023.01.01.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1643763
시민일보,[2023년 신년사] 서울 광진구청장 김경호,2023.01.01.,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160262880456901
한국강사신문,"진학사·유웨이·이투스에듀, 서울대학교·연세대학교 정시모집 원서접수 결과...",2023.01.01.,https://www.lecturernews.com/news/articleView.html?idxno=115720
데일리e스포츠,[포토] 2023시즌 유니폼 공개한 T1,2023.01.01.,http://www.dailyesports.com/view.php?ud=202301011351375563b91e133c1f_27
뉴스1,'엄마 품에 안겨',2023.01.01.,https://www.news1.kr/photos/view/?5766904
뉴스1,'즐거운 눈썰매',2023.01.01.,https://www.news1.kr/photos/view/?5766900
뉴스1,'어른들이 더 신나',2023.01.01.,https://www.news1.kr/photos/view/?5766905
