행정기관,계,인구수(남),인구수(여),지역(구성비),구성비(남),구성비(여),성비,세대수,세대당인구
광진구,335554,161277,174277,100,48.06,51.94,92.54,170077,1.97
중곡제1동,15239,7215,8024,4.54,2.15,2.39,89.92,8651,1.76
중곡제2동,20521,9639,10882,6.12,2.87,3.24,88.58,10572,1.94
중곡제3동,15727,7761,7966,4.69,2.31,2.37,97.43,8518,1.85
중곡제4동,27594,13441,14153,8.22,4.01,4.22,94.97,13066,2.11
능동,11097,5085,6012,3.31,1.52,1.79,84.58,6480,1.71
구의제1동,23127,11060,12067,6.89,3.3,3.6,91.65,13100,1.77
구의제2동,25610,12219,13391,7.63,3.64,3.99,91.25,11485,2.23
구의제3동,27840,13148,14692,8.3,3.92,4.38,89.49,12051,2.31
광장동,33971,16440,17531,10.12,4.9,5.22,93.78,11855,2.87
자양제1동,21833,10576,11257,6.51,3.15,3.35,93.95,11985,1.82
자양제2동,23628,11467,12161,7.04,3.42,3.62,94.29,10913,2.17
자양제3동,27221,13001,14220,8.11,3.87,4.24,91.43,10967,2.48
자양제4동,19883,9832,10051,5.93,2.93,3,97.82,10986,1.81
화양동,23193,10989,12204,6.91,3.27,3.64,90.04,18136,1.28
군자동,19070,9404,9666,5.68,2.8,2.88,97.29,11312,1.69
